Fish Species,Price,Grade,Catching Method,Sustainability,Actual Price
Bawal Hitam,36000,B,Farmed,Moderately sustainable,30000
Bawal Putih,72000,B,Farmed,Moderately sustainable,60000
Cakalang,30000,B,Farmed,Moderately sustainable,25000
Kakap Merah,66000,B,Farmed,Moderately sustainable,55000
Kembung,30000,B,Farmed,Moderately sustainable,25000
Kerapu,96000,B,Farmed,Moderately sustainable,80000
Kuwe,84000,B,Farmed,Moderately sustainable,70000
Makerel,36000,B,Farmed,Moderately sustainable,30000
Salmon,336000,B,Farmed,Moderately sustainable,280000
Tenggiri,72000,B,Farmed,Moderately sustainable,60000
Tongkol,45600,B,Farmed,Moderately sustainable,38000
Bawal Hitam,43200,A,Farmed,Moderately sustainable,30000
Bawal Putih,86400,A,Farmed,Moderately sustainable,60000
Cakalang,36000,A,Farmed,Moderately sustainable,25000
Kakap Merah,79200,A,Farmed,Moderately sustainable,55000
Kembung,36000,A,Farmed,Moderately sustainable,25000
Kerapu,115200,A,Farmed,Moderately sustainable,80000
Kuwe,100800,A,Farmed,Moderately sustainable,70000
Makerel,43200,A,Farmed,Moderately sustainable,30000
Salmon,403200,A,Farmed,Moderately sustainable,280000
Tenggiri,86400,A,Farmed,Moderately sustainable,60000
Tongkol,54720,A,Farmed,Moderately sustainable,38000
Bawal Hitam,18000,C,Farmed,Moderately sustainable,30000
Bawal Putih,36000,C,Farmed,Moderately sustainable,60000
Cakalang,15000,C,Farmed,Moderately sustainable,25000
Kakap Merah,33000,C,Farmed,Moderately sustainable,55000
Kembung,15000,C,Farmed,Moderately sustainable,25000
Kerapu,48000,C,Farmed,Moderately sustainable,80000
Kuwe,42000,C,Farmed,Moderately sustainable,70000
Makerel,18000,C,Farmed,Moderately sustainable,30000
Salmon,168000,C,Farmed,Moderately sustainable,280000
Tenggiri,36000,C,Farmed,Moderately sustainable,60000
Tongkol,22800,C,Farmed,Moderately sustainable,38000
Bawal Hitam,30000,B,Netting,Moderately sustainable,30000
Bawal Putih,60000,B,Netting,Moderately sustainable,60000
Cakalang,25000,B,Netting,Moderately sustainable,25000
Kakap Merah,55000,B,Netting,Moderately sustainable,55000
Kembung,25000,B,Netting,Moderately sustainable,25000
Kerapu,80000,B,Netting,Moderately sustainable,80000
Kuwe,70000,B,Netting,Moderately sustainable,70000
Makerel,30000,B,Netting,Moderately sustainable,30000
Salmon,280000,B,Netting,Moderately sustainable,280000
Tenggiri,60000,B,Netting,Moderately sustainable,60000
Tongkol,38000,B,Netting,Moderately sustainable,38000
Bawal Hitam,36000,A,Netting,Moderately sustainable,30000
Bawal Putih,72000,A,Netting,Moderately sustainable,60000
Cakalang,30000,A,Netting,Moderately sustainable,25000
Kakap Merah,66000,A,Netting,Moderately sustainable,55000
Kembung,30000,A,Netting,Moderately sustainable,25000
Kerapu,96000,A,Netting,Moderately sustainable,80000
Kuwe,84000,A,Netting,Moderately sustainable,70000
Makerel,36000,A,Netting,Moderately sustainable,30000
Salmon,336000,A,Netting,Moderately sustainable,280000
Tenggiri,72000,A,Netting,Moderately sustainable,60000
Tongkol,45600,A,Netting,Moderately sustainable,38000
Bawal Hitam,15000,C,Netting,Moderately sustainable,30000
Bawal Putih,30000,C,Netting,Moderately sustainable,60000
Cakalang,12500,C,Netting,Moderately sustainable,25000
Kakap Merah,27500,C,Netting,Moderately sustainable,55000
Kembung,12500,C,Netting,Moderately sustainable,25000
Kerapu,40000,C,Netting,Moderately sustainable,80000
Kuwe,35000,C,Netting,Moderately sustainable,70000
Makerel,15000,C,Netting,Moderately sustainable,30000
Salmon,140000,C,Netting,Moderately sustainable,280000
Tenggiri,30000,C,Netting,Moderately sustainable,60000
Tongkol,19000,C,Netting,Moderately sustainable,38000
Bawal Hitam,18000,B,Spearfishing,Moderately sustainable,30000
Bawal Putih,36000,B,Spearfishing,Moderately sustainable,60000
Cakalang,15000,B,Spearfishing,Moderately sustainable,25000
Kakap Merah,33000,B,Spearfishing,Moderately sustainable,55000
Kembung,15000,B,Spearfishing,Moderately sustainable,25000
Kerapu,48000,B,Spearfishing,Moderately sustainable,80000
Kuwe,42000,B,Spearfishing,Moderately sustainable,70000
Makerel,18000,B,Spearfishing,Moderately sustainable,30000
Salmon,168000,B,Spearfishing,Moderately sustainable,280000
Tenggiri,36000,B,Spearfishing,Moderately sustainable,60000
Tongkol,22800,B,Spearfishing,Moderately sustainable,38000
Bawal Hitam,21600,A,Spearfishing,Moderately sustainable,30000
Bawal Putih,43200,A,Spearfishing,Moderately sustainable,60000
Cakalang,18000,A,Spearfishing,Moderately sustainable,25000
Kakap Merah,39600,A,Spearfishing,Moderately sustainable,55000
Kembung,18000,A,Spearfishing,Moderately sustainable,25000
Kerapu,57600,A,Spearfishing,Moderately sustainable,80000
Kuwe,50400,A,Spearfishing,Moderately sustainable,70000
Makerel,21600,A,Spearfishing,Moderately sustainable,30000
Salmon,201600,A,Spearfishing,Moderately sustainable,280000
Tenggiri,43200,A,Spearfishing,Moderately sustainable,60000
Tongkol,27360,A,Spearfishing,Moderately sustainable,38000
Bawal Hitam,9000,C,Spearfishing,Moderately sustainable,30000
Bawal Putih,18000,C,Spearfishing,Moderately sustainable,60000
Cakalang,7500,C,Spearfishing,Moderately sustainable,25000
Kakap Merah,16500,C,Spearfishing,Moderately sustainable,55000
Kembung,7500,C,Spearfishing,Moderately sustainable,25000
Kerapu,24000,C,Spearfishing,Moderately sustainable,80000
Kuwe,21000,C,Spearfishing,Moderately sustainable,70000
Makerel,9000,C,Spearfishing,Moderately sustainable,30000
Salmon,84000,C,Spearfishing,Moderately sustainable,280000
Tenggiri,18000,C,Spearfishing,Moderately sustainable,60000
Tongkol,11400,C,Spearfishing,Moderately sustainable,38000
Bawal Hitam,24000,B,Fishing Hook,Moderately sustainable,30000
Bawal Putih,48000,B,Fishing Hook,Moderately sustainable,60000
Cakalang,20000,B,Fishing Hook,Moderately sustainable,25000
Kakap Merah,44000,B,Fishing Hook,Moderately sustainable,55000
Kembung,20000,B,Fishing Hook,Moderately sustainable,25000
